# WS1920_TNN_Assignment_PA-A_data_File_No_1_PA-A-train.dat
# P=32    N=5    M=2
 0 0 0 0 0 	0 0
 0 0 0 0 1 	0 0
 0 0 0 1 0 	1 0
 0 0 0 1 1 	1 0
 0 0 1 0 0 	0 0
 0 0 1 0 1 	0 0
 0 0 1 1 0 	1 0
 0 0 1 1 1 	1 1
 0 1 0 0 0 	1 0
 0 1 0 0 1 	1 0
 0 1 0 1 0 	1 0
 0 1 0 1 1 	1 1
 0 1 1 0 0 	1 0
 0 1 1 0 1 	1 1
 0 1 1 1 0 	1 1
 0 1 1 1 1 	1 1
 1 0 0 0 0 	0 0
 1 0 0 0 1 	0 0
 1 0 0 1 0 	1 0
 1 0 0 1 1 	1 1
 1 0 1 0 0 	0 0
 1 0 1 0 1 	0 1
 1 0 1 1 0 	1 1
 1 0 1 1 1 	1 1
 1 1 0 0 0 	1 0
 1 1 0 0 1 	1 1
 1 1 0 1 0 	1 1
 1 1 0 1 1 	1 1
 1 1 1 0 0 	1 1
 1 1 1 0 1 	1 1
 1 1 1 1 0 	1 1
 1 1 1 1 1 	1 1
